WellID,BVHH,FormationAlias,NioGOR,CodGOR,LateralLength,ProppantPerFoot,FluidPerFoot,LeftDistance,LeftNeighbourType,RightDistance,RightNeighbourType,TVD,NormalizedOilEUR,NormalizedGasEUR
0500109742,1.105028351,NIOBRARA,1687.414535,,8084,1256.308758,1234.370856,,NoNeighbour,,NoNeighbour,7501,15.23478476,37.6740475
0500109753,0.644479793,NIOBRARA,2267.667384,,3912,742.8425358,784,,NoNeighbour,1330,Codeveloped,7551,5.327198364,11.62730061
0500109754,0.620267526,NIOBRARA,2368.236087,,4137,912.7386995,1127.047136,1330,Codeveloped,,NoNeighbour,7594,5.629925066,14.54435581
0500109760,0.649669792,NIOBRARA,333.8766176,,4161,914.6839702,691.0266763,,NoNeighbour,,NoNeighbour,7391,8.240086518,7.012256669
0500109772,1.423474869,NIOBRARA,3608.065949,3199.96293,4418,747.2718425,928.2399276,,NoNeighbour,,NoNeighbour,7838,15.37483024,51.16953373
0500109773,1.368585492,NIOBRARA,3899.971877,3133.110269,4246,709.373528,957.3645784,,NoNeighbour,601,Codeveloped,7941,10.57041922,43.05652379
0500109775,1.39283822,NIOBRARA,3769.822078,3171.787991,4273,955.7079335,1027.864732,601,Codeveloped,569,Parent,7949,10.01614791,64.4652469
0500109777,1.372892821,CODELL,3827.060082,3171.913583,4393,893.694514,796.0783064,,NoNeighbour,629,Parent,8078,20.59412702,83.21830184
0500109779,1.168351563,NIOBRARA,1784.744088,,3896,1975.87269,1308.910164,,NoNeighbour,,NoNeighbour,7629,38.61473306,87.99948665
0500109805,1.182177949,NIOBRARA,1846.999552,,8400,1398.333333,907.66,,NoNeighbour,,NoNeighbour,7999,26.02190476,56.49821429
0500109826,1.43928299,NIOBRARA,3933.456074,3170.923049,4225,860.591716,719.2288757,,NoNeighbour,,NoNeighbour,7865,27.4783432,108.8956213
0500109841,0.894735938,CODELL,3541.267443,3190.199457,4297,828.4849895,781.305562,503,Parent,,NoNeighbour,8075,18.06935071,129.508727
0500109845,0.775735385,CODELL,2004.477089,1557.666119,4434,992.4995489,,,NoNeighbour,,NoNeighbour,7856,49.55164637,126.812359
0500109847,0.765930159,CODELL,1942.597254,1183.174029,4508,952.9724933,1326.214286,,NoNeighbour,,NoNeighbour,7742,52.97981366,131.8380657
0500109848,,NIOBRARA,,,16657,659.422465,734.0124272,,NoNeighbour,,NoNeighbour,,13.86107943,57.67629225
0500109858,0.750506154,CODELL,1579.18932,1126.227805,9907,1739.52256,1817.09034,,NoNeighbour,,NoNeighbour,7824,48.39194509,122.3055415
0500109860,1.487992708,NIOBRARA,1804.764588,1432.007957,9879,1744.103654,1740.727604,,NoNeighbour,,NoNeighbour,7602,35.60137666,79.23524648
0500109866,1.456688235,NIOBRARA,1899.440485,1423.597262,10027,967.1885908,903.1490974,739,Parent,216,Codeveloped,7588,18.28413284,68.49047572
0500109873,,NIOBRARA,,,12880,701.863354,884.9888199,,NoNeighbour,,NoNeighbour,,15.37119565,76.5322205
